mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.26346416473388673,0.014034036589254005,0.00075225830078125,1.1711571029301547e-05,entropy,,1,10,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.3168753147125244,0.09471683521941891,0.0007822990417480468,7.43600602378777e-05,entropy,,2,2,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.5,0.525,0.6,0.625,0.575,0.5650000000000001,0.04636809247747851,45
0.279118013381958,0.03845070532739155,0.0008256435394287109,0.0001150812671521159,entropy,,2,5,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.575,0.525,0.6,0.575,0.575,0.5700000000000001,0.024494897427831765,32
0.28136706352233887,0.05757012783015223,0.00078277587890625,8.243608452528085e-05,entropy,,2,10,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.26261558532714846,0.03300330305388413,0.0007660865783691406,6.430576484939382e-05,entropy,,4,2,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.241290283203125,0.011638230497561061,0.0007679939270019531,3.228874218035328e-05,entropy,,4,5,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.24310016632080078,0.031197075345290884,0.0007999897003173828,8.257789855969856e-05,entropy,,4,10,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.31032571792602537,0.056610246041584794,0.0010329246520996093,0.0004507521403606261,entropy,5,1,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.475,0.5,0.55,0.45,0.55,0.505,0.04000000000000002,98
0.24536232948303222,0.005289559316602936,0.0007280826568603516,2.7057473184670004e-05,entropy,5,1,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.45,0.5,0.55,0.525,0.55,0.515,0.03741657386773943,96
0.24550118446350097,0.007698249763730159,0.0007327556610107422,1.7950623328763008e-05,entropy,5,1,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.475,0.625,0.55,0.525,0.55,0.5450000000000002,0.048476798574163295,82
0.28635993003845217,0.043199678993961,0.0007998943328857422,8.824386635762335e-05,entropy,5,2,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.45,0.525,0.55,0.525,0.55,0.5200000000000001,0.036742346141747685,92
0.23804502487182616,0.005174779919429531,0.0007313728332519531,1.548186790103951e-05,entropy,5,2,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.45,0.525,0.55,0.525,0.55,0.5200000000000001,0.036742346141747685,92
0.24054579734802245,0.007717432327643085,0.0007682323455810546,3.433075212702179e-05,entropy,5,2,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.475,0.625,0.55,0.525,0.525,0.54,0.04898979485566357,84
0.27144289016723633,0.04459311907569342,0.0008279800415039063,0.0001084532965738158,entropy,5,4,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.475,0.525,0.55,0.525,0.55,0.525,0.02738612787525833,88
0.24699139595031738,0.0444173677867269,0.0007862091064453125,6.112088947285394e-05,entropy,5,4,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.475,0.525,0.55,0.525,0.55,0.525,0.02738612787525833,88
0.26427440643310546,0.04556589551230677,0.0007733345031738281,6.347159334136222e-05,entropy,5,4,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.475,0.625,0.55,0.525,0.525,0.54,0.04898979485566357,84
0.311189079284668,0.07004433799909936,0.0008215427398681641,5.497363756716167e-05,entropy,10,1,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.525,0.5,0.65,0.5,0.575,0.55,0.0570087712549569,64
0.2703519344329834,0.028234118849156227,0.0007831573486328125,6.432909703533376e-05,entropy,10,1,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.575,0.5,0.6,0.575,0.575,0.5650000000000001,0.03391164991562633,45
0.29553422927856443,0.05709277428592585,0.0007953643798828125,7.752527563956773e-05,entropy,10,1,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.2566727638244629,0.014488799581122563,0.0007900238037109375,7.647932894815402e-05,entropy,10,2,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.5,0.525,0.6,0.625,0.575,0.5650000000000001,0.04636809247747851,45
0.25452389717102053,0.012023330150821491,0.0009742259979248046,0.0004592925458553789,entropy,10,2,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.575,0.525,0.6,0.575,0.575,0.5700000000000001,0.024494897427831765,32
0.29829869270324705,0.05181182848264057,0.00081634521484375,8.125142870432644e-05,entropy,10,2,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.2853829383850098,0.05435920138400445,0.0008437156677246094,7.071535247976612e-05,entropy,10,4,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.23977646827697754,0.013271600439262853,0.0007537841796875,2.3644392532539323e-05,entropy,10,4,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.24373917579650878,0.020015267754035837,0.0007794857025146485,6.621766040217664e-05,entropy,10,4,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.2949344635009766,0.058897585597720604,0.0008104801177978516,5.235394051822705e-05,entropy,20,1,2,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.525,0.5,0.65,0.5,0.575,0.55,0.0570087712549569,64
0.2686049461364746,0.024163425801015822,0.0007326602935791016,1.6243988129516433e-05,entropy,20,1,5,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.575,0.5,0.6,0.575,0.575,0.5650000000000001,0.03391164991562633,45
0.30919466018676756,0.07427915620284711,0.000813436508178711,7.263380436674203e-05,entropy,20,1,10,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.25498428344726565,0.0109035504778491,0.0007668495178222656,3.944847036985783e-05,entropy,20,2,2,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.5,0.525,0.6,0.625,0.575,0.5650000000000001,0.04636809247747851,45
