mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9929289817810059,0.035911175318807775,0.0043413639068603516,0.0006466876192960302,tanh,0.001,"(15,)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.01}",1.0,0.975,0.975,0.975,0.9,0.9650000000000001,0.03391164991562633,1
6.328556919097901,0.08673612476366263,0.004399013519287109,0.00039240483538211115,tanh,0.001,"(15, 10)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.001}",0.9,1.0,0.95,0.95,0.875,0.9349999999999999,0.043588989435406726,14
1.6877145767211914,0.0597437228058093,0.005040264129638672,0.0003230443332555117,tanh,0.001,"(15, 10)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.01}",0.95,0.9,0.95,0.95,0.9,0.93,0.024494897427831747,23
1.0899555683135986,0.03739219770483287,0.007059955596923828,0.001994884240911011,tanh,0.001,50,0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.001}",0.975,0.925,0.975,1.0,0.85,0.945,0.05338539126015655,7
0.8196148872375488,0.03142472182149491,0.006195831298828125,0.00041753799699330497,tanh,0.001,50,0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.01}",0.975,0.925,0.975,0.95,0.875,0.9400000000000001,0.037416573867739396,10
2.630032205581665,0.1242171592650481,0.005175971984863281,0.0007041238884308195,tanh,0.01,"(20,)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.001}",1.0,0.925,0.975,0.9,0.875,0.9349999999999999,0.04636809247747851,14
0.8678758621215821,0.031033104694197063,0.005528116226196289,0.0006198295712155385,tanh,0.01,"(20,)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.01}",0.975,0.925,0.95,0.95,0.875,0.9349999999999999,0.03391164991562633,14
3.137107753753662,0.15173950313264292,0.005303812026977539,0.0005662842967189401,tanh,0.01,"(15,)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.001}",1.0,0.925,0.95,0.975,0.9,0.95,0.03535533905932736,4
0.9926815032958984,0.06260421582081574,0.006377601623535156,0.0015412491888492949,tanh,0.01,"(15,)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.01}",1.0,0.975,0.975,0.975,0.9,0.9650000000000001,0.03391164991562633,1
3.396854782104492,0.2816229236587454,0.0011959552764892578,0.00027051751572544294,tanh,0.01,"(15, 10)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.001}",0.9,1.0,0.95,0.95,0.875,0.9349999999999999,0.043588989435406726,14
1.73437180519104,0.047690035717719,0.004519271850585938,0.00043709744134302816,tanh,0.01,"(15, 10)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.01}",0.95,0.925,0.95,0.95,0.9,0.9350000000000002,0.01999999999999997,13
1.1306622982025147,0.018615351893712648,0.004913997650146484,0.0011709523926997601,tanh,0.01,50,0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.001}",0.975,0.925,0.975,1.0,0.85,0.945,0.05338539126015655,7
0.40508570671081545,0.09405723671480172,0.0035940170288085937,0.0012107776934282936,tanh,0.01,50,0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.01}",0.975,0.925,0.975,0.95,0.875,0.9400000000000001,0.037416573867739396,10
